Date,Ticker,Open,High,Low,Close,Volume,Target,RSI,MACD,Signal_Line,Upper_BB,Lower_BB,ATR,%K,%D
2000-01-28,AAPL,0.9659598214285714,0.9899553571428572,0.8984375,0.9073660714285714,37799.0,6.2731,37.96,0.017,0.021,1.04,0.88,0.074,4.79,30.32
2000-01-31,AAPL,0.9017857142857144,0.9274553571428572,0.84375,0.9263392857142856,62650.0,-10.1205,44.18,0.013,0.017,1.04,0.89,0.067,46.84,30.5
2000-02-01,AAPL,0.9285714285714286,0.9375,0.8928571428571429,0.8950892857142857,28396.0,-4.3017,37.04,0.006,0.012,1.04,0.88,0.068,29.21,26.95
2000-02-02,AAPL,0.8995535714285714,0.9118303571428572,0.8660714285714286,0.8822544642857143,41446.0,13.6622,34.38,-0.001,0.005,1.05,0.86,0.065,21.9,32.65
2000-02-03,AAPL,0.8956473214285714,0.9308035714285714,0.8950892857142857,0.9224330357142856,42428.0,13.6116,48.02,-0.001,0.002,1.03,0.86,0.058,44.76,31.96
2000-02-04,AAPL,0.9280133928571428,0.9821428571428572,0.9252232142857144,0.9642857142857144,37975.0,16.8403,58.51,0.003,0.003,1.02,0.86,0.061,72.97,46.54
2000-02-07,AAPL,0.9642857142857144,1.0200892857142858,0.9458705357142856,1.0184151785714286,39381.0,2.137,68.19,0.012,0.007,1.04,0.85,0.064,99.05,72.26
2000-02-08,AAPL,1.0178571428571428,1.0368303571428572,0.9933035714285714,1.0256696428571428,36486.0,-5.876,69.31,0.019,0.013,1.05,0.85,0.057,94.22,88.75
2000-02-09,AAPL,1.0189732142857142,1.0457589285714286,1.00390625,1.0055803571428572,26729.0,2.3307,62.23,0.022,0.018,1.06,0.85,0.051,77.64,90.3
2000-02-10,AAPL,1.0078125,1.0167410714285714,0.9821428571428572,1.0133928571428572,27052.0,-12.5551,63.9,0.024,0.021,1.07,0.84,0.05,81.99,84.62
2000-02-11,AAPL,1.0145089285714286,1.0189732142857142,0.9665178571428572,0.9709821428571428,18951.0,19.4828,49.91,0.021,0.021,1.07,0.86,0.051,50.37,70.0
2000-02-14,AAPL,0.9760044642857144,1.0345982142857142,0.9698660714285714,1.0340401785714286,32816.0,8.2569,63.7,0.025,0.023,1.09,0.86,0.053,90.28,74.21
2000-02-15,AAPL,1.0290178571428572,1.0708705357142858,1.0284598214285714,1.0625,43370.0,-12.2899,68.3,0.03,0.026,1.1,0.88,0.051,93.3,77.98
2000-02-16,AAPL,1.0513392857142858,1.0546875,1.0011160714285714,1.0189732142857142,33772.0,1.9715,55.71,0.029,0.028,1.08,0.92,0.049,50.27,77.95
2000-02-17,AAPL,1.0284598214285714,1.03125,1.0100446428571428,1.0256696428571428,25848.0,-9.4668,57.13,0.028,0.028,1.07,0.96,0.046,56.68,66.75
